                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8685,                 4.7171,                 1.8733,                      0,                      0,                      0,                      0,                      0,                 35.538,                      0,                      0,                      0,                      0
                      2,                 2.2809,                 4.6652,                 1.8605,                      0,                      0,                      0,                      0,                      0,                 35.541,                      0,             5.7636e-06,             5.7636e-06,             5.7636e-06
                      3,                  2.455,                  4.423,                 1.8999,                      0,                      0,                      0,                      0,                      0,                 35.544,                      0,             1.1294e-05,             1.1294e-05,             1.1294e-05
                      4,                  2.364,                 4.4792,                 1.8182,                      0,                      0,                      0,                      0,                      0,                 35.547,                      0,             1.6592e-05,             1.6592e-05,             1.6592e-05
                      5,                  2.107,                 4.3372,                 1.6882,                      0,                      0,                      0,                      0,                      0,                 35.549,                      0,             2.1657e-05,             2.1657e-05,             2.1657e-05
                      6,                 2.2099,                 4.5333,                 1.6825,                      0,                      0,                      0,                      0,                      0,                 35.551,                      0,             2.6489e-05,             2.6489e-05,             2.6489e-05
                      7,                 2.1741,                 4.2296,                 1.8186,                      0,                      0,                      0,                      0,                      0,                 35.553,                      0,             3.1089e-05,             3.1089e-05,             3.1089e-05
                      8,                 2.0112,                 4.3391,                 1.5791,                      0,                      0,                      0,                      0,                      0,                 35.556,                      0,             3.5455e-05,             3.5455e-05,             3.5455e-05
                      9,                  2.262,                 4.2309,                 1.7551,                      0,                      0,                      0,                      0,                      0,                 35.557,                      0,             3.9589e-05,             3.9589e-05,             3.9589e-05
                     10,                  2.024,                  4.361,                 1.6276,                      0,                      0,                      0,                      0,                      0,                 35.559,                      0,              4.349e-05,              4.349e-05,              4.349e-05
                     11,                 2.2685,                 4.4276,                  1.752,                      0,                      0,                      0,                      0,                      0,                  35.56,                      0,             4.7158e-05,             4.7158e-05,             4.7158e-05
                     12,                 1.9482,                 4.2334,                 1.5997,                      0,                      0,                      0,                      0,                      0,                 35.562,                      0,             5.0593e-05,             5.0593e-05,             5.0593e-05
                     13,                 1.7078,                 3.9572,                 1.4796,                      0,                      0,                      0,                      0,                      0,                 35.564,                      0,             5.3795e-05,             5.3795e-05,             5.3795e-05
                     14,                  1.535,                 4.0952,                 1.3707,                      0,                      0,                      0,                      0,                      0,                 35.566,                      0,             5.6764e-05,             5.6764e-05,             5.6764e-05
                     15,                 2.0746,                 4.5229,                 1.5773,                      0,                      0,                      0,                      0,                      0,                  35.57,                      0,             5.9501e-05,             5.9501e-05,             5.9501e-05
                     16,                 1.8511,                 4.0527,                 1.5667,                      0,                      0,                      0,                      0,                      0,                 35.573,                      0,             6.2005e-05,             6.2005e-05,             6.2005e-05
                     17,                 1.5504,                 4.0458,                  1.368,                      0,                      0,                      0,                      0,                      0,                 35.577,                      0,             6.4275e-05,             6.4275e-05,             6.4275e-05
                     18,                 1.7808,                 4.0743,                 1.4571,                      0,                      0,                      0,                      0,                      0,                 35.577,                      0,             6.6313e-05,             6.6313e-05,             6.6313e-05
                     19,                 1.6494,                 3.8902,                 1.4702,                      0,                      0,                      0,                      0,                      0,                 35.585,                      0,             6.8119e-05,             6.8119e-05,             6.8119e-05
                     20,                  1.602,                 3.8615,                 1.3407,                      0,                      0,                      0,                      0,                      0,                 35.585,                      0,             6.9691e-05,             6.9691e-05,             6.9691e-05
                     21,                 1.7776,                  4.047,                 1.3845,                      0,                      0,                      0,                      0,                      0,                 35.597,                      0,              7.103e-05,              7.103e-05,              7.103e-05
                     22,                 1.7416,                  3.868,                 1.4193,                      0,                      0,                      0,                      0,                      0,                 35.597,                      0,             7.2137e-05,             7.2137e-05,             7.2137e-05
                     23,                 1.7606,                 3.8567,                 1.4029,                      0,                      0,                      0,                      0,                      0,                 35.616,                      0,             7.3011e-05,             7.3011e-05,             7.3011e-05
                     24,                 1.6657,                 3.7853,                 1.3499,                      0,                      0,                      0,                      0,                      0,                 35.616,                      0,             7.3652e-05,             7.3652e-05,             7.3652e-05
                     25,                 1.6071,                 3.8605,                  1.361,                      0,                      0,                      0,                      0,                      0,                 35.634,                      0,              7.406e-05,              7.406e-05,              7.406e-05
                     26,                 1.7352,                  3.801,                 1.4066,                      0,                      0,                      0,                      0,                      0,                 35.634,                      0,             7.4235e-05,             7.4235e-05,             7.4235e-05
                     27,                 1.6641,                 3.7805,                 1.3309,                      0,                      0,                      0,                      0,                      0,                 35.665,                      0,             7.4177e-05,             7.4177e-05,             7.4177e-05
                     28,                 1.7372,                 3.7036,                 1.4007,                      0,                      0,                      0,                      0,                      0,                 35.665,                      0,             7.3887e-05,             7.3887e-05,             7.3887e-05
                     29,                 1.7464,                 3.7126,                 1.4203,                      0,                      0,                      0,                      0,                      0,                 35.708,                      0,             7.3364e-05,             7.3364e-05,             7.3364e-05
                     30,                 1.5661,                 3.6311,                 1.3234,                      0,                      0,                      0,                      0,                      0,                 35.708,                      0,             7.2607e-05,             7.2607e-05,             7.2607e-05
                     31,                 1.7595,                 3.6934,                 1.4599,                      0,                      0,                      0,                      0,                      0,                 35.767,                      0,             7.1618e-05,             7.1618e-05,             7.1618e-05
                     32,                  1.572,                 3.2047,                 1.3714,                      0,                      0,                      0,                      0,                      0,                 35.767,                      0,             7.0397e-05,             7.0397e-05,             7.0397e-05
                     33,                 1.5969,                 3.4432,                  1.278,                      0,                      0,                      0,                      0,                      0,                  35.83,                      0,             6.8942e-05,             6.8942e-05,             6.8942e-05
                     34,                 1.4655,                 3.0149,                 1.2357,                      0,                      0,                      0,                      0,                      0,                  35.83,                      0,             6.7254e-05,             6.7254e-05,             6.7254e-05
                     35,                 1.6362,                 3.2444,                 1.3404,                      0,                      0,                      0,                      0,                      0,                 35.902,                      0,             6.5334e-05,             6.5334e-05,             6.5334e-05
                     36,                 1.5755,                 3.3404,                 1.3204,                      0,                      0,                      0,                      0,                      0,                 35.902,                      0,             6.3181e-05,             6.3181e-05,             6.3181e-05
                     37,                 1.8236,                 3.4413,                 1.4442,                      0,                      0,                      0,                      0,                      0,                 35.999,                      0,             6.0794e-05,             6.0794e-05,             6.0794e-05
                     38,                 1.5687,                 3.2248,                 1.2711,                      0,                      0,                      0,                      0,                      0,                 35.999,                      0,             5.8176e-05,             5.8176e-05,             5.8176e-05
